DP TotalCurrent(IdVgp_400n60_des) X,DP TotalCurrent(IdVgp_400n60_des) Y,DN TotalCurrent(IdVgn_400n60_des) X,DN TotalCurrent(IdVgn_400n60_des) Y
0,-3.3302934e-08,0,4.3599421e-08
-0.05,-1.0040838e-07,0.05,7.0130889e-08
-0.1,-3.2493136e-07,0.1,1.0987401e-07
-0.15,-9.6328407e-07,0.15,1.6821234e-07
-0.2,-2.2071803e-06,0.2,2.5786302e-07
-0.25,-4.023402e-06,0.25,4.1063263e-07
-0.3,-6.3190609e-06,0.3,7.0753928e-07
-0.35,-8.9395384e-06,0.35,1.3360825e-06
-0.4,-1.1598016e-05,0.4,2.5839578e-06
-0.45,-1.4327498e-05,0.45,4.3750939e-06
-0.5,-1.7045246e-05,0.5,6.9095951e-06
-0.55,-1.9777158e-05,0.55,1.025798e-05
-0.6,-2.2480904e-05,0.6,1.3796752e-05
-0.65,-2.5170827e-05,0.65,1.7273392e-05
-0.7,-2.7813494e-05,0.7,2.0901219e-05
-0.75,-3.0384424e-05,0.75,2.4400866e-05
-0.8,-3.2887265e-05,0.8,2.7706491e-05
-0.85,-3.534466e-05,0.85,3.0901616e-05
-0.9,-3.7825904e-05,0.9,3.4025318e-05
-0.95,-4.0283489e-05,0.95,3.7213957e-05
-1,-4.2690285e-05,1,4.039794e-05

